##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	79	120	1.52				1	525	1	12	96	485	Automatic	515			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
	36.99	13.4358	9.6562	9.7228	9.7134	9.589	9.6028	9.668	9.6412	9.6398	9.603	9.6034	9.684		
		3721.187	3396.327	3841.318	3102.115	2895.453	2798.824	2851.863	3269.941	3623.446	3398.083	3575.102	3795.052		
		13.5978	9.809	9.8824	9.8754	9.747	9.7532	9.8498	9.83	9.7926	9.7638	9.7562	9.8424		
		3294.547	3563.81	3790.705	3220.373	3029.157	3075.101	3041.908	3328.657	3701.35	4233.551	3871.911	3965.192		
		13.756	9.9576	10.0432	10.0238	9.8972	9.9132	10.0086	9.9916	9.951	9.945	9.9146	10.0024		
		3009.615	2942.177	3193.516	3275.147	3203.542	3192.813	3179.354	3255.432	3589.732	3974.016	3456.373	3558.818		
		13.9064	10.1178	10.2144	10.1742	10.0476	10.0644	10.1686	10.142	10.1014	10.0934	10.065	10.1528		
		2847.752	2771.925	3087.008	3544.973	2971.675	3374.766	3688.274	3521.369	3912.557	3955.24	3970.664	3754.735		
		14.0666	10.2684	10.373	10.3342	10.2484	10.2236	10.3186	10.2922	10.2518	10.2538	10.3058	10.3048		
		2979.699	3052.297	3155.099	3070.894	3078.769	3241.055	3604.075	3525.21	3446.501	3823.522	4062.754	3444.871		
		14.2272	10.498	10.5228	10.4864	10.398	10.3836	10.469	10.452	10.4134	10.4134	10.4554	10.4632		
		2967.858	3667.429	3285.295	3130.332	3417.9	3211.209	3741.331	3602.888	3983.382	3913.193	4067.463	3516.311		
		14.4668	10.658	10.6732	10.6448	10.5582	10.6042	10.629	10.6022	10.6214	10.6242	10.6058	10.6448		
		2827.993	2869.015	3601.792	3121.297	3288.892	3431.37	3408.561	3633.909	3896.894	4302.934	4485.623	4096.879		
		14.6268	10.8082	10.8648	10.8448	10.718	10.765	10.7792	10.7526	10.7822	10.7838	10.7654	10.8036		
		2868.937	3279.029	3033.499	3153.056	3369.768	3439.405	3820.646	3474.668	3979.476	4556.331	4439.598	3878.593		
		
	36.99	14.9584	11.1686	11.2036	11.2142	11.1202	11.1246	11.1796	11.163	11.1526	11.1246	11.1178	11.204		
		3727.204	3394.575	3838.629	3117.259	2842.738	2786.031	2860.833	3305.426	3697.569	3451.463	3715.716	3788.383		
		15.119	11.319	11.3636	11.367	11.3086	11.2846	11.3298	11.3232	11.3126	11.2846	11.3002	11.364		
		3258.808	3597.854	3796.242	3206.937	3002.399	3079.715	2979.782	3330.914	3692.381	4194.435	3810.043	3960.788		
		15.2674	11.549	11.515	11.5156	11.459	11.434	11.49	11.473	11.4622	11.435	11.4562	11.5144		
		2993.534	2968.235	3203.929	3211.228	3198.663	3140.519	3136.62	3269.293	3598.849	3940.7	3411.888	3537.502		
		15.455	11.7	11.686	11.6758	11.6188	11.6652	11.6408	11.6244	11.693	11.6126	11.6166	11.704		
		2845.966	2791.279	3125.638	3533.592	3034.331	3355.214	3675.003	3499.042	3944.885	3917.684	4028.119	3742.327		
		15.6178	11.8494	11.9142	11.9158	11.769	11.825	11.7904	11.7836	11.8542	11.775	11.7774	11.8644		
		2962.444	3081.383	3196.107	3039.032	3024.035	3296.88	3617.114	3462.183	3492.476	3844.244	4017.943	3479.532		
		15.7682	12.0096	12.0646	12.0662	11.9194	11.9754	12.0056	11.986	12.003	11.927	11.927	12.0144		
		3005.731	3693.146	3294.462	3196.703	3427.324	3244.082	3738.532	3572.864	3958.392	3927.19	4083.564	3466.905		
		15.9284	12.1596	12.2256	12.226	12.0794	12.1358	12.1606	12.144	12.1534	12.0854	12.0874	12.1648		
		2810.157	2886.543	3584.838	3120.39	3237.48	3405.963	3444.707	3585.078	3928.854	4330.31	4520.352	4140.483		
		16.0882	12.31	12.3746	12.3762	12.3092	12.2972	12.311	12.304	12.3134	12.2454	12.247	12.3248		
		2833.752	3285.524	3003.849	3131.478	3400.878	3510.186	3842.943	3467.561	3984.25	4497.725	4431.576	3875.824		
		
	36.99	16.5154	12.68	12.725	12.7184	12.63	12.6622	12.7012	12.6846	12.683	12.6902	12.6394	12.7616		
		3779.51	3376.368	3842.126	3122.208	2856.546	2756.546	2867.946	3344.605	3647.843	3434.267	3649.784	3800.505		
		16.6688	12.8304	12.9084	12.9072	12.7804	12.816	12.8614	12.8444	12.8438	12.8482	12.7874	12.9156		
		3276.527	3578.954	3763.919	3231.167	2973.365	3131.921	3034.924	3341.249	3744.536	4215.431	3874.912	3917.864		
		16.8192	12.9904	13.0674	13.0672	12.9404	12.9674	13.0642	13.0444	12.9942	13.0066	12.9378	13.0656		
		3057.488	2967.539	3122.061	3225.234	3248.152	3172.666	3174.746	3284.936	3610.273	3967.153	3416.339	3530.241		
		16.9792	13.1416	13.2254	13.2272	13.0904	13.1284	13.2218	13.2064	13.1542	13.1662	13.0978	13.228		
		2843.343	2828.211	3034.675	3527.367	3036.085	3412.6	3672.102	3543.416	3881.614	3976.559	4003.717	3709.162		
		17.1312	13.301	13.3756	13.3774	13.2422	13.2764	13.3818	13.355	13.3158	13.3178	13.2498	13.376		
		2967.335	3116.078	3128.831	2998.442	3047.096	3259.078	3636.09	3493.314	3480.177	3843.748	4051.22	3419.776		
		17.2898	13.4608	13.526	13.5376	13.4408	13.4268	13.5318	13.5054	13.4646	13.477	13.4882	13.5264		
		3075.656	3684.297	3278.576	3151.82	3471.056	3308.915	3749.315	3598.878	3919.579	3945.203	4033.408	3464.509		
		17.4496	13.6814	13.6878	13.6976	13.5908	13.587	13.6822	13.6656	13.625	13.637	13.6482	13.6864		
		2867.33	2891.892	3543.706	3135.006	3301.221	3488.197	3380.304	3641.225	3934.092	4365.843	4481.448	4062.106		
		17.64	13.8422	13.836	13.848	13.7412	13.797	13.843	13.8154	13.815	13.8074	13.7986	13.8872		
		2871.961	3258.642	3013.918	3154.136	3384.753	3464.949	3788.046	3473.651	4019.666	4495.335	4428.546	3840.999		
		
	36.99	18.0002	14.2018	14.2464	14.2282	14.1516	14.1674	14.2228	14.2058	14.1854	14.159	14.149	14.2568		
		3716.521	3412.629	3793.641	3098.217	2874.843	2791.681	2878.739	3300.851	3600.324	3398.649	3684.489	3765.012		
		18.1506	14.3618	14.4158	14.3784	14.3118	14.318	14.3828	14.356	14.3354	14.3078	14.2994	14.4072		
		3334.516	3570.312	3800.555	3245.341	2968.13	3107.35	2996.346	3330.959	3743.031	4254.325	3845.834	3988.053		
		18.3108	14.5128	14.5788	14.5384	14.5118	14.4798	14.534	14.5064	14.4858	14.4678	14.485	14.568		
		2996.73	2957.599	3251.491	3267.65	3233.801	3152.354	3150.394	3266.006	3563.049	3901.291	3393.971	3548.638		
		18.4606	14.7424	14.727	14.6888	14.663	14.6378	14.705	14.6672	14.6454	14.6178	14.6402	14.7288		
		2826.567	2772.428	3089.93	3528.087	2988.269	3332.394	3701.241	3514.76	3930.139	3947.881	3995.31	3727.849		
		18.6414	14.9022	14.8774	14.839	14.8222	14.8584	14.8632	14.8164	14.8762	14.7994	14.7898	14.9576		
		2945.739	3093.86	3111.822	3017.512	3035.892	3258.29	3642.269	3500.088	3497.678	3781.994	4059.704	3435.476		
