,Plate Read,Concentration,Compound,Avg Fluorescence,Standard Deviation,Avg Time
898,38,10^-09,Compound B,3840.6585000000005,327.8823446425984,57.413050000000005
899,38,10^-09,Compound C,5227.09325,370.4569459216357,57.44305
900,38,10^-10,Compound A,3119.20975,453.0852378816243,57.2927
901,38,10^-10,Compound B,3735.3810000000003,433.4450835688393,57.2452
902,38,10^-10,Compound C,4779.351000000001,183.2399125645455,57.240249999999996
903,38,10^-11,Compound A,3005.64925,163.42604794498618,57.12245
904,38,10^-11,Compound B,3521.3925000000004,200.62485868655358,57.08785
905,38,10^-11,Compound C,4418.47875,179.07535588566532,57.077749999999995
906,38,10^-12,Compound A,3382.4207499999998,277.40501281985433,56.96515
907,38,10^-12,Compound B,3375.3677500000003,386.8862822771694,56.91525
908,38,10^-12,Compound C,4537.84,308.0954007154161,56.90245
909,38,Control,Compound A,3377.5480000000002,222.99880913134388,56.80455
910,38,Control,Compound B,3285.1165,367.7481845815131,56.757200000000005
911,38,Control,Compound C,4033.0660000000003,188.18085475236853,56.75255
912,39,10^-06,Compound A,7796.6075,1333.3575283177706,59.52825
913,39,10^-06,Compound B,10758.5455,497.45506426376136,59.4482
914,39,10^-06,Compound C,12849.85475,1485.7608056133759,59.477650000000004
915,39,10^-07,Compound A,5267.813749999999,597.5855209258842,59.35485
916,39,10^-07,Compound B,10197.37875,489.43917516914024,59.2745
917,39,10^-07,Compound C,10419.728749999998,1361.0133003353108,59.27015
918,39,10^-08,Compound A,4967.91575,1596.6817153042484,59.18215000000001
919,39,10^-08,Compound B,5516.35575,237.16674928607944,59.10695
920,39,10^-08,Compound C,6028.00425,309.26516370731366,59.10445
921,39,10^-09,Compound A,3063.5105,160.19663943728924,59.0291
922,39,10^-09,Compound B,3838.2854999999995,320.8408382666909,58.954350000000005
923,39,10^-09,Compound C,5275.96375,403.56192210727755,58.95435
924,39,10^-10,Compound A,3135.61875,435.6424061615788,58.87475
925,39,10^-10,Compound B,3736.1314999999995,417.01990813749705,58.79955
926,39,10^-10,Compound C,4815.29025,163.89553855912968,58.79805
927,39,10^-11,Compound A,3006.63625,161.4248192655543,58.71395
928,39,10^-11,Compound B,3487.48275,201.07798677854902,58.609249999999996
929,39,10^-11,Compound C,4418.788500000001,139.3038441333497,58.64145
930,39,10^-12,Compound A,3374.29525,287.360250805352,58.524300000000004
931,39,10^-12,Compound B,3370.4047499999997,383.88331736555836,58.451350000000005
932,39,10^-12,Compound C,4529.83975,274.43440161827215,58.48645
933,39,Control,Compound A,3368.17825,233.89631014672713,58.346050000000005
934,39,Control,Compound B,3268.2235,365.69822263946844,58.283199999999994
935,39,Control,Compound C,4008.232,183.64506630998795,58.276349999999994
936,40,10^-06,Compound A,7716.811749999999,1362.1123664023667,60.9911
937,40,10^-06,Compound B,10685.18775,464.929756312661,60.95185
938,40,10^-06,Compound C,12932.85425,1513.7583209251927,60.94155
939,40,10^-07,Compound A,5323.14475,590.1568387563698,60.840900000000005
940,40,10^-07,Compound B,10152.77775,488.3355542134116,60.78105
941,40,10^-07,Compound C,10544.6005,1481.1809808803457,60.789049999999996
942,40,10^-08,Compound A,4968.5912499999995,1627.4782087838391,60.6506
943,40,10^-08,Compound B,5568.4515,210.49495955088915,60.62825
944,40,10^-08,Compound C,6097.34175,396.46225570865585,60.62895
945,40,10^-09,Compound A,3093.28325,188.9092620340496,60.48305
946,40,10^-09,Compound B,3825.5147500000003,301.793915920969,60.456149999999994
947,40,10^-09,Compound C,5312.793250000001,442.79843529712343,60.43325
948,40,10^-10,Compound A,3125.8250000000003,440.7193588524702,60.31315
949,40,10^-10,Compound B,3702.4127500000004,411.0728415365248,60.29625
950,40,10^-10,Compound C,4838.13475,192.63910489368655,60.27905
951,40,10^-11,Compound A,3019.8235,177.26821005564187,60.152950000000004
952,40,10^-11,Compound B,3520.0305,208.83204766590111,60.12525
953,40,10^-11,Compound C,4438.634,131.4933551603859,60.10365
954,40,10^-12,Compound A,3366.1215,280.7375011138755,60.000299999999996
955,40,10^-12,Compound B,3312.82425,375.96618936847096,59.970150000000004
956,40,10^-12,Compound C,4496.52575,292.21687332571486,59.95295
957,40,Control,Compound A,3355.5097499999997,250.37882229983484,59.8454
958,40,Control,Compound B,3258.0952500000003,374.64637999262794,59.8077
959,40,Control,Compound C,3991.9485,171.46926476874378,59.79545
960,41,10^-06,Compound A,7771.3295,1331.2425589174184,62.53405
961,41,10^-06,Compound B,10610.626,440.45748966650956,62.483
962,41,10^-06,Compound C,12927.273500000001,1593.5500322371404,62.488550000000004
963,41,10^-07,Compound A,5357.498750000001,623.2073597871816,62.36755
964,41,10^-07,Compound B,10117.624749999999,490.3273048086673,62.3225
965,41,10^-07,Compound C,10602.5955,1500.5196839694179,62.33615
966,41,10^-08,Compound A,5021.62175,1601.5521426629382,62.21705
967,41,10^-08,Compound B,5615.6720000000005,234.1149841082215,62.16515
968,41,10^-08,Compound C,6159.137,443.08192499656536,62.167950000000005
969,41,10^-09,Compound A,3060.744,169.30309416546322,62.05994999999999
970,41,10^-09,Compound B,3845.2697500000004,298.58607586799536,62.0073
971,41,10^-09,Compound C,5418.27825,476.4146527619029,62.00765
972,41,10^-10,Compound A,3119.4199999999996,438.6490080728956,61.90745
973,41,10^-10,Compound B,3698.6772499999997,415.5645765753502,61.81545
974,41,10^-10,Compound C,4872.2715,160.1397472553191,61.857749999999996
975,41,10^-11,Compound A,3008.1220000000003,182.42880394461503,61.723600000000005
976,41,10^-11,Compound B,3517.819,193.3526092126326,61.65705
977,41,10^-11,Compound C,4458.622,110.93184952030855,61.703050000000005
978,41,10^-12,Compound A,3392.3102500000005,273.73637518285443,61.5415
979,41,10^-12,Compound B,3350.11125,361.1427838361405,61.48135
980,41,10^-12,Compound C,4533.275750000001,289.77324222728225,61.49925
981,41,Control,Compound A,3371.8412500000004,198.25062624091112,61.373850000000004
982,41,Control,Compound B,3237.91925,337.679165753902,61.3217
983,41,Control,Compound C,3957.19,189.59264301829694,61.34425
984,42,10^-06,Compound A,7744.341,1367.6388553669176,64.079
985,42,10^-06,Compound B,10524.87825,504.1547811240633,64.0073
986,42,10^-06,Compound C,13008.777250000001,1618.4554105671887,63.979549999999996
987,42,10^-07,Compound A,5417.0355,687.9152327559465,63.92075
988,42,10^-07,Compound B,10058.51825,540.6741046270486,63.841699999999996
989,42,10^-07,Compound C,10634.972,1464.2302148580782,63.824450000000006
990,42,10^-08,Compound A,5047.5335,1617.9221180494676,63.7161
991,42,10^-08,Compound B,5694.81875,256.002459277742,63.671850000000006
992,42,10^-08,Compound C,6237.7119999999995,441.686271371451,63.64205
993,42,10^-09,Compound A,3077.128,167.52920766839372,63.5539
994,42,10^-09,Compound B,3872.31675,315.6164686592238,63.5138
995,42,10^-09,Compound C,5457.01725,502.6247733278923,63.48155
996,42,10^-10,Compound A,3117.1854999999996,421.8363480288725,63.3965
997,42,10^-10,Compound B,3735.2215000000006,431.24632848870993,63.344649999999994
998,42,10^-10,Compound C,4879.86125,182.5044706107712,63.314550000000004
999,42,10^-11,Compound A,3006.95625,158.68681861111833,63.24079999999999
1000,42,10^-11,Compound B,3492.6704999999997,194.63271725741504,63.1814
1001,42,10^-11,Compound C,4471.6585000000005,165.2024545448944,63.154450000000004
1002,42,10^-12,Compound A,3367.6855000000005,234.7537469171995,63.08805
1003,42,10^-12,Compound B,3344.8015,372.2278052326719,63.0236
1004,42,10^-12,Compound C,4513.29275,277.79091582985455,62.99414999999999
1005,42,Control,Compound A,3323.448,199.60233772011128,62.928399999999996
1006,42,Control,Compound B,3248.798,345.6756944179568,62.83555
1007,42,Control,Compound C,3953.4890000000005,183.76818772209103,62.83855
1008,43,10^-06,Compound A,7728.22975,1368.1696949390373,65.56545
1009,43,10^-06,Compound B,10531.05425,474.1913512471444,65.5331
1010,43,10^-06,Compound C,12954.95425,1808.9016194050487,65.53665
1011,43,10^-07,Compound A,5464.826,680.935395812261,65.4106
1012,43,10^-07,Compound B,9939.4995,461.18890256270373,65.36129999999999
1013,43,10^-07,Compound C,10650.58325,1547.4584167311964,65.36395
1014,43,10^-08,Compound A,5076.329250000001,1625.6398209093697,65.25319999999999
1015,43,10^-08,Compound B,5740.78675,249.40827316320278,65.2079
1016,43,10^-08,Compound C,6331.8724999999995,527.6194954829348,65.20814999999999
1017,43,10^-09,Compound A,3096.7675,187.2152447950408,65.09994999999999
1018,43,10^-09,Compound B,3867.41475,306.53475536212403,65.02525
1019,43,10^-09,Compound C,5508.259249999999,562.093959750143,65.05795
1020,43,10^-10,Compound A,3121.3515,429.8681321471329,64.91515
1021,43,10^-10,Compound B,3711.535,428.05823554200646,64.8705
1022,43,10^-10,Compound C,4977.004,170.5504102154694,64.89795000000001
1023,43,10^-11,Compound A,3011.94,180.28597267859556,64.73765
1024,43,10^-11,Compound B,3498.64025,180.30690917687184,64.70235
1025,43,10^-11,Compound C,4491.831,144.6320552228977,64.69995
1026,43,10^-12,Compound A,3352.21,295.7754171969001,64.56905
1027,43,10^-12,Compound B,3329.10475,404.4324718857058,64.54025
1028,43,10^-12,Compound C,4524.0647500000005,282.7560131153922,64.53995
1029,43,Control,Compound A,3346.716,214.61712692296638,64.4074
1030,43,Control,Compound B,3205.62125,354.93389406702624,64.35985000000001
1031,43,Control,Compound C,3901.6855,197.71268551191255,64.36245
1032,44,10^-06,Compound A,7684.839,1352.5568468627594,67.1123
1033,44,10^-06,Compound B,10494.2585,425.7396140400927,67.04724999999999
1034,44,10^-06,Compound C,12992.46025,1840.8939334555882,67.06495000000001
1035,44,10^-07,Compound A,5504.12175,729.2160999376296,66.9168
1036,44,10^-07,Compound B,9973.4885,520.042434179837,66.89405000000001
1037,44,10^-07,Compound C,10724.793249999999,1632.0229109415952,66.90755
1038,44,10^-08,Compound A,5116.877,1597.9455517668077,66.7492
1039,44,10^-08,Compound B,5777.807249999999,202.16004625773866,66.72449999999999
1040,44,10^-08,Compound C,6359.697,528.2899960608794,66.71764999999999
1041,44,10^-09,Compound A,3096.79975,176.32278756184843,66.59425
1042,44,10^-09,Compound B,3849.63575,285.52047966403927,66.557
